[Device] Detected NVIDIA GPU: NVIDIA GeForce RTX 3050 Ti Laptop GPU
[Info] Scan complete, found 1600 photos
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[Index] {'run_id': '1120553e-9c4c-4a10-86ad-33d13fbdff7e', 'phase': 'metadata', 'status': 'checkpoint', 'indexed_count': 0, 'failed_count': 0}
[CLIP] Loading model: openai/clip-vit-base-patch32
